"Name","Location","Start","End","Result"
"Kosovo War","Serbia","1998","1999","Victory"
"Operation Infinite Reach","Sudan and Afghanistan","1998",NA,"Blunder"
"War in Afghanistan","Afghanistan","2001","","Ongoing"
"Iraq War","Iraq","2003","2011","Victory"
"War in North-West Pakistan","Pakistan","2004","","Ongoing"
"War in Somalia","Somalia and Northeastern Kenya","2007","","Ongoing"
"Operation Ocean Shield","Indian Ocean","2009","2016","Victory"
"American-led intervention in Libya","Libya","2011",NA,"Victory"
"American-led intervention in Iraq","Iraq","2014","2017","Victory"
"American-led intervention in Syria","Syria","2014","","Ongoing"
"Yemeni Civil War","Yemen","2015","","Ongoing"
"American intervention in Libya","Libya","2015","","Ongoing"
